Gene_ids	Treatment1	Treatment2	Treatment3	Controle1	Controle2	Controle3
ENSG00000226473	0	0	0	0	0	0
ENSG00000275423	0	0	0	0	0	0
ENSG00000201010	0	0	0	0	0	0
ENSG00000170802	454	579	547	578	399	399
ENSG00000251889	0	0	0	0	0	0
ENSG00000272663	8	5	3	8	3	3
ENSG00000162869	718	548	635	757	598	598
ENSG00000202227	0	1	0	0	0	0
ENSG00000243244	61	74	63	153	118	118
ENSG00000068781	1	0	0	0	0	0
ENSG00000242441	0	0	0	0	0	0
ENSG00000279956	0	0	1	1	0	0
ENSG00000239995	0	0	0	0	0	0
ENSG00000138039	0	0	0	0	0	0
ENSG00000232285	0	0	0	0	0	0
ENSG00000282890	0	0	0	0	0	0
ENSG00000214602	0	0	0	0	0	0
ENSG00000170820	0	0	0	0	0	0
ENSG00000212036	0	0	0	0	0	0
ENSG00000282998	0	0	0	0	0	0
ENSG00000206915	0	0	0	0	0	0
ENSG00000282828	0	0	0	0	0	0
ENSG00000234253	3	2	1	2	1	1
ENSG00000212580	0	0	0	0	0	0
ENSG00000179915	0	0	1	0	0	0
ENSG00000285548	0	0	0	0	0	0
ENSG00000230327	1	0	0	0	0	0
ENSG00000283058	0	0	0	0	0	0
ENSG00000216191	0	0	0	0	0	0
ENSG00000238165	1	0	0	0	0	0
ENSG00000286412	0	0	0	0	0	0
ENSG00000231918	0	0	0	0	0	0
ENSG00000287867	0	0	0	0	0	0
ENSG00000224344	0	0	0	0	0	0
ENSG00000223710	0	0	0	1	1	1
ENSG00000230840	0	0	0	0	0	0
ENSG00000226366	0	0	0	0	0	0
ENSG00000287344	0	0	0	0	0	0
ENSG00000236538	0	0	0	0	0	0
ENSG00000202195	0	0	0	0	0	0
ENSG00000225444	0	0	0	0	0	0
ENSG00000225842	0	0	0	0	0	0
ENSG00000236837	0	0	0	0	0	0
ENSG00000204993	1	0	1	0	0	0
ENSG00000233083	0	0	0	0	0	0
ENSG00000264975	0	0	0	0	0	0
ENSG00000228033	0	0	0	0	0	0
ENSG00000232604	0	0	0	0	0	0
ENSG00000232668	0	0	0	0	0	0
ENSG00000251942	0	0	0	0	0	0
ENSG00000223897	0	0	0	0	0	0
ENSG00000115239	455	330	394	499	367	367
ENSG00000207456	0	0	0	0	0	0
ENSG00000143942	197	138	156	77	48	48
ENSG00000068912	1402	1131	1226	1582	1111	1111
ENSG00000265452	1	1	2	0	0	0
ENSG00000119737	13	23	21	18	13	13
ENSG00000068878	2348	2659	2783	2628	1928	1928
ENSG00000170634	103	57	53	129	87	87
ENSG00000235937	1	0	0	1	0	0
ENSG00000233266	3	3	1	7	5	5
ENSG00000241114	0	0	0	0	0	0
ENSG00000272156	3	1	4	2	3	3
ENSG00000252934	0	0	0	0	0	0
ENSG00000178021	0	0	0	1	0	0
ENSG00000177994	1	0	0	0	0	0
ENSG00000115306	3647	4104	5314	3844	4303	4303
ENSG00000228108	0	0	0	0	0	0
ENSG00000237887	0	1	1	0	0	0
ENSG00000234943	0	1	0	0	1	1
ENSG00000238018	5	16	15	7	5	5
ENSG00000214595	81	79	100	59	89	89
ENSG00000231334	0	0	0	0	0	0
ENSG00000285519	0	0	0	0	0	0
ENSG00000252507	0	0	0	0	0	0
ENSG00000115310	4484	3330	3706	3881	2841	2841
ENSG00000200086	0	0	0	0	0	0
ENSG00000162994	62	55	62	80	65	65
ENSG00000203327	2	2	0	1	0	0
ENSG00000227799	24	10	15	9	11	11
ENSG00000143947	4213	2777	2788	3194	3083	3083
ENSG00000085760	1405	1261	1322	1541	1108	1108
ENSG00000162997	59	63	59	56	52	52
ENSG00000240401	8	1	4	13	5	5
ENSG00000206964	2	0	0	0	1	1
ENSG00000115355	14	30	29	16	17	17
ENSG00000233594	0	1	2	0	1	1
ENSG00000238619	0	0	0	0	0	0
ENSG00000238493	0	0	0	0	0	0
ENSG00000239189	0	0	0	0	0	0
ENSG00000163001	760	591	600	795	638	638
ENSG00000275052	2537	2422	2631	3095	2232	2232
ENSG00000212175	0	1	0	0	0	0
ENSG00000272606	3	1	3	5	5	5
ENSG00000138035	1371	1161	1176	837	584	584
ENSG00000115380	512	405	485	886	794	794
ENSG00000202344	0	0	0	0	0	0
ENSG00000272180	0	2	0	0	0	0
ENSG00000226702	0	0	0	0	0	0
ENSG00000207548	0	0	0	0	0	0
ENSG00000207798	0	0	0	0	0	0
ENSG00000211520	0	0	0	0	0	0
ENSG00000229805	0	0	0	0	0	0
ENSG00000271894	0	0	0	0	0	0
ENSG00000233251	5	5	5	8	4	4
ENSG00000055813	0	0	3	0	5	5
ENSG00000199395	0	0	0	0	0	0
ENSG00000231570	0	0	0	0	0	0
ENSG00000271115	0	0	0	1	0	0
ENSG00000285755	0	0	1	2	1	1
ENSG00000270569	0	0	0	0	0	0
ENSG00000212168	0	0	0	0	0	0
ENSG00000271615	0	0	0	0	0	0
ENSG00000028116	278	246	266	294	206	206
ENSG00000287875	0	0	0	2	1	1
ENSG00000115392	437	332	405	313	230	230
ENSG00000273063	1	0	0	0	0	0
ENSG00000233426	11	6	6	6	3	3
ENSG00000225226	0	0	0	0	0	0
ENSG00000233723	1	0	1	4	4	4
ENSG00000231043	16	12	7	13	8	8
ENSG00000285673	0	0	0	0	0	0
ENSG00000222030	0	0	0	0	0	0
ENSG00000271955	0	0	0	0	0	0
ENSG00000233891	0	0	0	0	0	0
ENSG00000231815	0	0	0	0	0	0
ENSG00000270447	0	0	0	0	0	0
ENSG00000200101	0	0	0	0	0	0
ENSG00000252726	0	0	0	0	0	0
ENSG00000286604	0	0	0	0	0	0
ENSG00000285611	0	0	0	0	0	0
ENSG00000228590	0	0	0	0	0	0
ENSG00000287640	0	0	0	0	0	0
ENSG00000200807	0	0	0	0	0	0
ENSG00000266078	0	0	0	0	0	0
ENSG00000119866	2	0	0	0	1	1
ENSG00000233953	0	0	0	0	0	0
ENSG00000242158	0	0	0	1	0	0
ENSG00000271134	0	0	0	0	0	0
ENSG00000213495	0	0	1	2	0	0
ENSG00000252718	0	0	0	0	0	0
ENSG00000271707	1	1	0	0	0	0
ENSG00000115421	424	415	446	530	410	410
ENSG00000228414	3	1	5	1	2	2
ENSG00000241524	0	0	0	0	0	0
ENSG00000237024	0	0	0	0	0	0
ENSG00000162924	153	530	545	591	389	389
ENSG00000201076	0	0	0	0	0	0
ENSG00000267520	0	0	0	0	0	0
ENSG00000237522	8	14	14	10	10	10
ENSG00000232713	9	4	5	2	7	7
ENSG00000162927	164	142	135	233	167	167
ENSG00000222251	0	0	0	0	0	0
ENSG00000162928	987	887	966	1403	966	966
ENSG00000162929	329	301	304	353	207	207
ENSG00000274769	0	0	0	0	0	0
ENSG00000212978	161	125	133	194	150	150
ENSG00000237651	20	12	14	15	23	23
ENSG00000271889	2	2	1	2	2	2
ENSG00000173209	800	796	1038	552	785	785
ENSG00000115464	1532	2980	3054	2666	1982	1982
ENSG00000273302	0	2	2	0	2	2
ENSG00000271146	0	0	0	0	0	0
ENSG00000234624	0	1	3	0	0	0
ENSG00000206937	0	0	0	0	0	0
ENSG00000270820	22	14	16	29	18	18
ENSG00000082898	6137	6612	7079	6315	4464	4464
ENSG00000285857	2	2	5	0	4	4
ENSG00000271243	0	0	0	0	0	0
ENSG00000226884	0	0	0	0	0	0
ENSG00000206973	0	0	0	0	0	0
ENSG00000213486	0	0	0	0	0	0
ENSG00000227361	1	3	6	0	0	0
ENSG00000229831	0	0	0	0	0	0
ENSG00000170264	163	174	180	111	96	96
ENSG00000230702	0	0	0	0	0	0
ENSG00000277498	0	0	1	0	1	1
ENSG00000115484	6165	4498	4635	5165	3483	3483
ENSG00000236498	3	3	3	0	3	3
ENSG00000286360	7	12	21	2	4	4
ENSG00000173163	339	223	229	339	264	264
ENSG00000278523	0	0	0	0	0	0
ENSG00000229839	1	1	0	0	0	0
ENSG00000242735	0	0	0	0	0	0
ENSG00000271657	0	0	0	0	0	0
ENSG00000170340	901	714	746	1090	711	711
ENSG00000266097	0	0	1	0	0	0
ENSG00000239958	0	0	0	0	0	0
ENSG00000270335	0	0	0	0	0	0
ENSG00000228541	1	0	0	0	1	1
ENSG00000241625	0	0	0	0	0	0
ENSG00000186889	29	31	35	27	12	12
ENSG00000233702	0	0	0	0	0	0
ENSG00000229503	1	0	2	1	0	0
ENSG00000226622	0	0	0	1	0	0
ENSG00000232144	0	0	0	0	0	0
ENSG00000230595	0	0	0	0	0	0
ENSG00000115504	754	796	819	735	528	528
ENSG00000252436	0	0	0	0	0	0
ENSG00000286524	0	0	0	0	0	0
ENSG00000226605	0	0	0	0	0	0
ENSG00000237162	0	0	0	0	0	0
ENSG00000231609	3	4	8	4	8	8
ENSG00000115507	52	33	59	50	67	67
ENSG00000270437	0	0	0	0	0	0
ENSG00000286480	0	0	0	0	0	0
ENSG00000232403	0	0	0	0	0	0
ENSG00000242412	2	0	0	1	0	0
ENSG00000143951	128	97	122	119	94	94
ENSG00000283636	0	0	0	0	0	0
ENSG00000233716	0	0	0	0	0	0
ENSG00000279485	0	0	0	0	0	0
ENSG00000014641	4472	2860	3288	3790	2774	2774
ENSG00000228305	1	0	1	1	0	0
ENSG00000229920	1	2	1	1	2	2
ENSG00000234488	1	1	2	0	1	1
ENSG00000228872	0	0	0	0	0	0
ENSG00000229221	1	1	0	1	0	0
ENSG00000169764	2903	2231	2442	3635	2485	2485
ENSG00000251775	0	0	1	0	0	0
ENSG00000143952	1210	1243	1303	2412	1926	1926
ENSG00000228079	0	0	0	0	0	0
ENSG00000197329	299	296	332	345	267	267
ENSG00000225889	0	6	0	0	1	1
ENSG00000230923	0	0	0	0	0	0
ENSG00000270354	0	0	0	0	0	0
ENSG00000238012	0	0	0	0	0	0
ENSG00000238201	0	0	0	0	0	0
ENSG00000264297	0	0	0	0	0	0
ENSG00000283222	0	0	0	0	0	0
ENSG00000236148	7	5	4	0	0	0
ENSG00000223935	3	2	4	3	2	2
ENSG00000237217	0	0	0	0	0	0
ENSG00000119862	286	274	286	343	249	249
ENSG00000223863	0	0	0	0	0	0
ENSG00000260101	8	3	5	9	5	5
ENSG00000119844	1400	1361	1437	2137	1430	1430
ENSG00000283204	0	0	0	0	0	0
ENSG00000252414	0	1	0	0	0	0
ENSG00000233694	4	4	1	9	4	4
ENSG00000179833	788	777	813	801	708	708
ENSG00000226756	3	1	5	3	1	1
ENSG00000227791	2	2	0	1	1	1
ENSG00000275588	0	0	0	0	0	0
ENSG00000199964	0	0	0	0	0	0
ENSG00000287123	0	0	0	0	0	0
ENSG00000234572	0	0	0	0	0	0
ENSG00000237638	37	15	44	17	35	35
ENSG00000244534	0	0	0	0	0	0
ENSG00000227394	2	0	4	1	0	0
ENSG00000115902	661	470	538	257	240	240
ENSG00000252892	0	0	0	0	0	0
ENSG00000232613	4	0	2	0	2	2
ENSG00000011523	565	513	684	473	424	424
ENSG00000138069	4575	3423	3810	4786	3460	3460
ENSG00000272025	0	0	0	0	0	0
ENSG00000273763	15	13	23	10	20	20
ENSG00000172974	31	27	27	35	18	18
ENSG00000138071	5589	5422	5690	7392	4823	4823
ENSG00000198369	1289	1228	1392	1361	1412	1412
ENSG00000232693	0	1	0	0	0	0
ENSG00000204929	0	0	1	2	2	2
ENSG00000234255	0	0	1	0	0	0
ENSG00000237979	0	0	0	0	1	1
ENSG00000223739	0	0	0	0	0	0
ENSG00000243029	0	0	0	0	0	0
ENSG00000251900	0	0	0	0	0	0
ENSG00000235725	0	0	0	0	0	0
ENSG00000281920	3	3	2	1	1	1
ENSG00000214533	3	3	3	2	2	2
ENSG00000280257	0	0	0	0	0	0
ENSG00000227293	0	0	0	1	0	0
ENSG00000225815	0	0	0	1	0	0
ENSG00000264525	0	0	0	0	0	0
ENSG00000232164	2	2	2	4	1	1
ENSG00000226819	0	0	1	0	1	1
ENSG00000143995	87	69	72	87	100	100
ENSG00000230749	0	0	0	0	0	0
ENSG00000232046	1	0	0	0	0	0
ENSG00000237179	0	0	0	0	0	0
ENSG00000224071	0	0	0	0	0	0
ENSG00000230355	1	3	2	2	0	0
ENSG00000230525	0	0	0	0	0	0
ENSG00000232688	0	0	0	0	0	0
ENSG00000223859	0	0	0	0	0	0
ENSG00000235885	0	0	0	0	0	0
ENSG00000236780	3	4	2	2	2	2
ENSG00000236605	0	0	0	0	0	0
ENSG00000143971	414	373	392	411	321	321
ENSG00000224173	0	0	0	0	0	0
ENSG00000235495	0	0	0	0	0	0
ENSG00000286002	0	0	0	0	0	0
ENSG00000237013	0	0	0	0	0	0
ENSG00000235968	0	0	0	0	0	0
ENSG00000197223	199	143	182	242	166	166
ENSG00000284932	0	0	0	0	0	0
ENSG00000243667	140	69	74	104	84	84
ENSG00000236259	0	0	0	0	0	0
ENSG00000273398	0	0	0	0	0	0
ENSG00000115946	673	535	598	506	323	323
ENSG00000221823	1252	1014	1021	1086	744	744
ENSG00000273275	0	0	0	0	0	0
ENSG00000273064	3	1	5	8	1	1
ENSG00000119865	0	0	0	0	0	0
ENSG00000203395	0	0	0	0	0	0
ENSG00000115956	1	1	0	3	0	0
ENSG00000229462	0	0	0	0	0	0
ENSG00000204923	49	34	49	25	32	32
ENSG00000169621	14	15	9	19	9	9
ENSG00000214525	1	0	0	0	0	0
ENSG00000169618	0	0	1	0	0	0
ENSG00000163219	1	0	0	0	1	1
ENSG00000228329	0	0	0	0	1	1
ENSG00000237576	0	0	0	0	0	0
ENSG00000163217	0	0	0	0	0	0
ENSG00000283586	0	0	0	0	0	0
ENSG00000183607	0	0	0	0	0	0
ENSG00000169605	0	0	0	0	0	0
ENSG00000169604	535	504	556	837	714	714
ENSG00000286347	0	0	0	0	0	0
ENSG00000266649	0	0	0	0	0	0
ENSG00000251850	0	0	0	0	0	0
ENSG00000199460	0	0	0	0	0	0
ENSG00000271597	0	0	1	0	0	0
ENSG00000198380	2043	2060	2210	2114	1547	1547
ENSG00000252250	0	0	0	0	0	0
ENSG00000169599	384	255	235	319	275	275
ENSG00000115977	482	668	729	693	667	667
ENSG00000244236	0	0	0	0	0	0
ENSG00000207016	0	0	0	0	0	0
ENSG00000232228	1	1	1	0	1	1
ENSG00000229948	1	0	0	0	0	0
ENSG00000196975	1987	1416	1794	2264	2000	2000
ENSG00000231024	2	0	0	2	1	1
ENSG00000087338	904	808	924	981	666	666
ENSG00000275381	1	0	1	1	2	2
ENSG00000270723	0	0	0	0	2	2
ENSG00000124380	382	268	320	346	252	252
ENSG00000059728	992	949	1166	864	764	764
ENSG00000244617	15	16	18	12	18	18
ENSG00000179818	319	244	290	305	291	291
ENSG00000263669	0	0	0	0	0	0
ENSG00000169564	424	153	410	265	596	596
ENSG00000233060	0	0	0	1	1	1
ENSG00000225392	0	0	0	0	0	0
ENSG00000231327	15	9	16	7	16	16
ENSG00000115998	336	243	298	344	328	328
ENSG00000116001	1611	1570	1743	1783	1255	1255
ENSG00000221238	0	0	0	0	0	0
ENSG00000231414	3	0	0	1	0	0
ENSG00000116005	1948	1994	2225	2693	2111	2111
ENSG00000143977	656	477	480	424	408	408
ENSG00000035141	2137	1602	1836	1491	1337	1337
ENSG00000233849	0	0	0	0	0	0
ENSG00000235289	0	0	0	0	0	0
ENSG00000229229	0	0	0	0	0	0
ENSG00000163235	555	428	501	450	379	379
ENSG00000224606	0	0	0	0	0	0
ENSG00000075340	1	0	1	0	2	2
ENSG00000286979	0	0	0	0	0	0
ENSG00000235035	0	0	0	0	0	0
ENSG00000183733	0	0	0	1	0	0
ENSG00000228034	0	0	0	0	0	0
ENSG00000152672	3	2	0	1	2	2
ENSG00000231386	0	0	0	0	0	0
ENSG00000116031	1	5	2	6	6	6
ENSG00000237751	5	0	7	5	5	5
ENSG00000277764	0	0	0	0	3	3
ENSG00000116035	27	12	21	18	30	30
ENSG00000116039	2	2	7	8	26	26
ENSG00000258881	1	2	2	1	1	1
ENSG00000239322	0	0	0	1	0	0
ENSG00000226186	2	1	0	2	1	1
ENSG00000241159	0	0	0	0	0	0
ENSG00000144031	1	2	2	0	3	3
ENSG00000144043	3034	2115	2670	2728	2795	2795
ENSG00000228384	0	0	1	0	1	1
ENSG00000236469	0	0	0	0	0	0
ENSG00000205847	14	8	9	14	22	22
ENSG00000234485	0	0	0	0	0	0
ENSG00000234896	3	4	2	3	4	4
ENSG00000124357	1307	869	1192	1413	1841	1841
ENSG00000272735	4	2	8	6	7	7
ENSG00000124370	110	95	107	133	106	106
ENSG00000288065	1	9	4	4	1	1
ENSG00000124383	1263	1080	1108	1267	907	907
ENSG00000233870	0	0	0	0	0	0
ENSG00000124374	289	278	299	432	330	330
ENSG00000075292	3096	3661	3765	4151	2892	2892
ENSG00000281195	1	9	9	6	5	5
ENSG00000200779	0	0	0	0	0	0
ENSG00000135636	7	6	7	9	14	14
ENSG00000233971	15	9	7	2	2	2
ENSG00000003137	10	7	12	6	4	4
ENSG00000144036	788	783	916	1328	997	997
ENSG00000228568	0	0	1	0	0	0
ENSG00000222536	0	0	0	0	0	0
ENSG00000212378	0	0	0	0	0	0
ENSG00000116096	1481	872	1120	1353	1334	1334
ENSG00000135638	4	1	6	1	6	6
ENSG00000278060	0	0	0	0	0	0
ENSG00000144040	982	551	930	683	874	874
ENSG00000135631	205	121	203	189	241	241
ENSG00000272702	3	0	0	0	1	1
ENSG00000214513	0	0	0	0	0	0
ENSG00000135632	1236	817	1017	778	876	876
ENSG00000135617	240	105	184	153	174	174
ENSG00000135624	10489	6940	7990	7230	6267	6267
ENSG00000163013	676	423	707	463	685	685
ENSG00000135625	3	1	1	0	2	2
ENSG00000252988	0	0	1	0	0	0
ENSG00000287435	0	0	0	0	4	4
ENSG00000285068	0	0	0	0	0	0
ENSG00000214484	2	1	1	0	0	0
ENSG00000116127	617	1102	1140	816	570	570
ENSG00000230002	25	28	29	14	14	14
ENSG00000284902	0	0	0	0	0	0
ENSG00000144035	0	0	0	2	0	0
ENSG00000163016	6	4	7	3	5	5
ENSG00000204872	0	2	1	0	1	1
ENSG00000144034	869	583	600	695	420	420
ENSG00000273245	0	1	2	0	0	0
ENSG00000280037	0	1	0	2	0	0
ENSG00000144048	749	509	579	710	503	503
ENSG00000187833	1	0	0	0	0	0
ENSG00000287250	4	1	4	6	5	5
ENSG00000124356	1213	970	1062	1286	1065	1065
ENSG00000286244	3	2	2	0	2	2
ENSG00000271536	0	0	0	0	0	0
ENSG00000163017	75	44	60	135	60	60
ENSG00000114956	702	415	500	584	516	516
ENSG00000237883	33	36	32	21	28	28
ENSG00000201876	0	1	0	0	0	0
ENSG00000235499	22	36	70	41	51	51
ENSG00000187605	1520	1780	2209	1608	1835	1835
ENSG00000279181	0	0	0	0	0	0
ENSG00000257800	36	60	71	73	48	48
ENSG00000217702	13	7	8	7	6	6
ENSG00000163170	163	101	103	99	69	69
ENSG00000225439	9	10	12	7	11	11
ENSG00000114978	4360	3947	4307	5668	3607	3607
ENSG00000065911	3637	2850	3089	2650	1901	1901
ENSG00000279201	0	0	0	0	0	0
ENSG00000279070	2	0	0	0	0	0
ENSG00000264324	2	1	2	1	0	0
ENSG00000188687	6	5	11	7	12	12
ENSG00000229798	10	5	5	3	2	2
ENSG00000252214	0	0	0	0	0	0
ENSG00000234632	0	0	0	0	0	0
ENSG00000225658	0	0	1	0	0	0
ENSG00000204843	3067	1975	2961	2609	3261	3261
ENSG00000237737	0	5	1	1	2	2
ENSG00000159239	0	2	1	0	2	2
ENSG00000234521	2	0	1	0	1	1
ENSG00000284308	50	29	44	36	29	29
ENSG00000286623	1	2	5	4	1	1
ENSG00000233155	12	8	10	9	21	21
ENSG00000005448	952	473	740	661	808	808
ENSG00000114993	499	274	489	308	413	413
ENSG00000115274	25	14	21	8	25	25
ENSG00000274049	0	0	0	0	0	0
ENSG00000239779	117	117	129	134	211	211
ENSG00000115275	1762	912	1573	1140	1846	1846
ENSG00000286883	0	0	1	0	0	0
ENSG00000204822	0	0	0	0	0	0
ENSG00000135637	275	206	281	195	254	254
ENSG00000115282	862	643	829	791	970	970
ENSG00000179528	26	16	37	18	34	34
ENSG00000272183	26	7	10	17	27	27
ENSG00000257702	65	45	71	77	121	121
ENSG00000115289	447	331	394	417	429	429
ENSG00000115297	1	1	0	0	4	4
ENSG00000144045	24	17	17	17	27	27
ENSG00000115307	3179	1798	2738	2294	2884	2884
ENSG00000115317	499	260	466	384	474	474
ENSG00000115318	143	95	175	44	46	46
ENSG00000115325	298	116	230	78	133	133
ENSG00000159374	2	6	2	0	4	4
ENSG00000233872	0	0	0	0	0	0
ENSG00000108442	0	0	0	0	0	0
ENSG00000135622	248	184	216	236	261	261
ENSG00000287687	1	0	1	3	2	2
ENSG00000224646	0	2	0	4	1	1
ENSG00000286739	0	0	0	0	0	0
ENSG00000272711	89	54	68	33	26	26
ENSG00000159399	1003	869	1067	1104	1284	1284
ENSG00000204792	3	4	5	5	7	7
ENSG00000236209	0	0	0	0	0	0
ENSG00000230836	6	10	8	13	5	5
ENSG00000115350	696	470	507	470	359	359
ENSG00000115353	12	9	6	8	3	3
ENSG00000263909	0	0	0	0	0	0
ENSG00000270571	32	21	20	22	22	22
ENSG00000236167	0	0	0	0	0	0
ENSG00000115363	1	0	1	1	1	1
ENSG00000237293	0	0	0	0	0	0
ENSG00000238410	0	0	0	0	0	0
ENSG00000231172	0	0	0	0	0	0
ENSG00000230477	0	0	0	0	0	0
ENSG00000221638	0	1	0	0	0	0
ENSG00000115364	1393	1391	1423	1410	936	936
ENSG00000226247	0	1	1	0	0	0
ENSG00000005436	281	256	283	218	158	158
ENSG00000270696	0	0	0	0	0	0
ENSG00000271452	2	3	10	12	4	4
ENSG00000270462	0	1	1	1	2	2
ENSG00000286045	0	1	1	3	2	2
ENSG00000270996	15	8	4	15	14	14
ENSG00000287474	0	0	0	0	0	0
ENSG00000233107	0	0	0	0	0	0
ENSG00000287172	0	0	0	0	0	0
ENSG00000287749	0	0	0	0	0	0
ENSG00000228209	1	0	0	0	0	0
ENSG00000271356	0	0	0	0	0	0
ENSG00000200488	0	0	0	0	0	0
ENSG00000251947	0	0	0	0	0	0
ENSG00000287026	0	0	0	0	0	0
ENSG00000287130	0	0	0	0	0	0
ENSG00000286202	0	0	0	0	0	0
ENSG00000176204	0	0	0	0	0	0
ENSG00000200028	0	0	0	0	0	0
ENSG00000287025	0	0	0	0	0	0
ENSG00000234653	0	0	0	0	0	0
ENSG00000286932	0	0	0	0	0	0
ENSG00000227088	0	0	0	0	0	0
ENSG00000230968	0	0	0	0	0	0
ENSG00000237077	0	0	0	0	1	1
ENSG00000233605	0	0	0	0	0	0
ENSG00000229494	0	0	0	0	0	0
ENSG00000214429	0	0	0	0	0	0
ENSG00000270470	0	0	0	0	0	0
ENSG00000234877	0	0	0	0	0	0
ENSG00000286260	0	0	0	0	0	0
ENSG00000202423	0	0	0	0	0	0
ENSG00000200048	0	0	0	0	0	0
ENSG00000143954	0	0	0	0	0	0
ENSG00000172023	0	0	0	0	0	0
ENSG00000115386	0	0	0	0	0	0
ENSG00000204787	0	0	0	0	0	0
ENSG00000172016	0	0	0	0	0	0
ENSG00000224879	0	0	0	0	0	0
ENSG00000066032	1	0	0	0	0	0
ENSG00000286227	0	0	0	0	0	0
ENSG00000229385	0	0	0	0	0	0
ENSG00000277171	0	0	0	0	0	0
ENSG00000230237	0	0	0	0	0	0
ENSG00000252031	0	0	0	0	0	0
ENSG00000266436	0	0	0	0	0	0
ENSG00000276917	0	0	0	0	0	0
ENSG00000224731	0	0	0	0	0	0
ENSG00000223427	0	1	0	0	0	0
ENSG00000162951	0	0	0	0	0	0
ENSG00000237031	0	0	0	0	0	0
ENSG00000230975	0	0	0	0	0	0
ENSG00000234429	1	2	0	1	1	1
ENSG00000231722	0	0	0	0	0	0
ENSG00000235519	0	0	0	0	0	0
ENSG00000200890	0	0	0	0	0	0
ENSG00000233444	0	1	0	0	0	0
ENSG00000242118	0	0	0	0	0	0
ENSG00000231781	0	0	0	0	0	0
ENSG00000229560	0	0	0	0	0	0
ENSG00000252897	0	0	0	0	0	0
ENSG00000201311	0	0	0	0	0	0
ENSG00000237498	0	0	0	0	0	0
ENSG00000226860	0	0	0	0	0	0
ENSG00000226700	0	0	0	0	0	0
ENSG00000225045	0	0	0	0	0	0
ENSG00000224695	0	0	0	0	0	0
ENSG00000227789	1	0	0	0	0	0
ENSG00000286211	0	0	0	0	0	0
ENSG00000168129	1	0	0	0	0	0
ENSG00000223977	0	0	0	0	0	0
ENSG00000232548	0	0	0	0	0	0
ENSG00000224627	0	0	0	0	0	0
ENSG00000199295	0	0	0	0	0	0
ENSG00000228225	0	0	0	0	0	0
ENSG00000228902	0	0	0	0	0	0
ENSG00000182814	0	0	0	3	0	0
ENSG00000228272	0	0	0	0	0	0
ENSG00000163541	2071	1380	1505	1908	1600	1600
ENSG00000115423	14	15	14	18	24	24
ENSG00000259056	0	0	0	0	0	0
ENSG00000235847	58	77	54	67	52	52
ENSG00000186854	6	9	7	9	10	10
ENSG00000276362	0	0	0	0	0	0
ENSG00000213400	0	1	0	0	0	0
ENSG00000034510	8669	5011	6337	8065	8675	8675
ENSG00000213399	4	6	6	1	2	2
ENSG00000287625	8	11	16	7	11	11
ENSG00000176407	1802	1272	1504	1705	1393	1393
ENSG00000260840	0	0	0	0	0	0
ENSG00000235463	0	0	0	0	0	0
ENSG00000225787	1	0	0	0	2	2
ENSG00000152284	284	162	286	548	746	746
ENSG00000231134	0	0	0	1	0	0
ENSG00000200701	0	0	0	0	0	0
ENSG00000230299	0	0	0	0	0	0
ENSG00000246575	15	9	29	14	26	26
ENSG00000152291	5561	5503	6515	6703	6300	6300
ENSG00000239143	0	1	0	0	0	0
ENSG00000270532	4	0	1	2	2	2
ENSG00000042445	707	492	620	833	978	978
ENSG00000115459	370	285	319	390	432	432
ENSG00000271014	0	0	0	0	0	0
ENSG00000202382	0	0	0	0	0	0
ENSG00000278590	1	0	2	1	2	2
ENSG00000273196	0	0	1	0	0	0
ENSG00000042493	566	259	438	516	809	809
ENSG00000286011	3	5	4	6	6	6
ENSG00000152292	1	0	1	3	0	0
ENSG00000207207	0	0	0	0	0	0
ENSG00000244399	0	0	0	0	0	0
ENSG00000199936	0	0	0	0	0	0
ENSG00000229648	0	0	0	0	0	0
ENSG00000286532	111	57	74	81	112	112
ENSG00000168906	4200	4333	4637	3036	3214	3214
ENSG00000115486	1101	808	953	1104	1135	1135
ENSG00000118640	2176	1326	1534	2843	2908	2908
ENSG00000276281	0	0	0	0	0	0
ENSG00000168899	59	33	41	78	103	103
ENSG00000168894	1672	994	1283	1642	1791	1791
ENSG00000168890	212	87	203	203	393	393
ENSG00000168883	2684	1867	2189	2047	1761	1761
ENSG00000168887	1162	905	1011	1131	1141	1141
ENSG00000168878	0	1	1	0	0	0
ENSG00000115523	0	0	1	0	0	0
ENSG00000203363	0	1	0	0	1	1
ENSG00000199687	0	0	0	0	0	0
ENSG00000168874	7	3	8	12	17	17
ENSG00000278783	0	0	0	0	0	0
ENSG00000229498	0	2	0	0	0	0
ENSG00000252321	0	0	0	0	0	0
ENSG00000115525	159	132	143	168	184	184
ENSG00000232504	0	0	3	0	2	2
ENSG00000272564	0	0	0	0	2	2
ENSG00000287628	0	1	0	0	0	0
ENSG00000068654	1621	1721	2019	1121	1347	1347
ENSG00000132300	1845	1572	1732	1455	1106	1106
ENSG00000208772	5	8	6	4	3	3
ENSG00000132305	2751	2127	2350	2530	1981	1981
ENSG00000200241	0	0	0	0	0	0
ENSG00000265420	0	0	0	0	0	0
ENSG00000273080	30	18	16	22	25	25
ENSG00000132313	1118	909	976	1134	853	853
ENSG00000068615	108	93	107	81	45	45
ENSG00000202537	0	0	0	0	0	0
ENSG00000251974	0	0	0	0	0	0
ENSG00000115548	1507	1447	1795	1986	1616	1616
